"","artist","avg_views","avg_streams"
"1","Post Malone",639442020.9,1525126385.3
"2","Ed Sheeran",1546020776.9,1439488155.7
"3","Dua Lipa",821633930.7,1340807627.4
"4","XXXTENTACION",254637432,1322435169.9
"5","The Weeknd",704603315.4,1303197337.6
"6","Justin Bieber",1099106023.6,1209776742.2
"7","Imagine Dragons",909378523.8,1185831092.8
"8","Coldplay",999727788.4,1177847823.6
"9","Khalid",539824627.5,1138683991.5
"10","Bruno Mars",1024091922.7,1089786295
"11","Ariana Grande",445824596.3,1085741188.8
"12","Billie Eilish",482156877.4,1074717264.1
"13","Maroon 5",831125233,1072250761.6
"14","The Chainsmokers",544222388.9,1039670125.9
"15","Shawn Mendes",735104434.3,1011131372.8
"16","Eminem",911932371,974858773.4
"17","Calvin Harris",975847613.9,954854185.1
"18","Queen",470905107.1,938453375.7
"19","Harry Styles",260649575.3,934720761
"20","Olivia Rodrigo",149353344,885420822.7
"21","Halsey",400399667.3,883592642.9
"22","Rihanna",806702671,857266695.8
"23","Avicii",511702329.7,852330959.7
"24","Camila Cabello",400816354.6,841882324.3
"25","Lil Nas X",411926223.7,813516767
"26","Marshmello",302599580.8,810685591.5
"27","Adele",592335724,804668086.6
"28","Sam Smith",485557147.8,795233517.6
"29","Bad Bunny",351141563.3,776743809.8
"30","DJ Snake",918026835.5,773946279.9
"31","Sia",844183533.6,736834351.6
"32","Arctic Monkeys",229962278.9,728438612.2
"33","J Balvin",846487769.3,713894987.6
"34","Kendrick Lamar",199334846.1,711344142.6
"35","Juice WRLD",232755906.4,709743033.3
"36","Lady Gaga",631868169.1,707323117.4
"37","Charlie Puth",1216759419.1,704118664.8
"38","Twenty One Pilots",742277271.9,699450231.9
"39","Red Hot Chili Peppers",406156600.3,679646730.7
"40","Swae Lee",444990360.5,674704733.7
"41","Drake",182216516.6,666205781.9
"42","Doja Cat",155104263.9,661468017
"43","Katy Perry",1312063207.5,660732869.8
"44","Kanye West",172228215.9,651792644.3
"45","Nicki Minaj",801706407.3,645692960.3
"46","One Direction",633760154.9,645440035.7
"47","Bebe Rexha",421668762,637908752.1
"48","Travis Scott",250125380.6,637316966.1
"49","BTS",560786700.2,636791026.7
"50","Linkin Park",568506989,636240882
"51","Lewis Capaldi",117377787.7,630214407.2
"52","J. Cole",91577873.6,616242157.6
"53","Macklemore",397822164,594994583.4
"54","AC/DC",337776587.2,594140589.7
"55","Miley Cyrus",440019635.5,590280770.5
"56","Migos",393033352.4,578095613.1
"57","DaBaby",208185250.2,573605260.2
"58","Clean Bandit",591048136.9,573125639.7
"59","Wiz Khalifa",847770234.9,565336560.8
"60","Cardi B",402102624.8,558539662.3
"61","Selena Gomez",407086887.3,558013787
"62","Guns N' Roses",630298588.5,557904178.3
"63","Jhayco",379496663.7,549145966.9
"64","Pop Smoke",162983513.9,547883954.6
"65","ZAYN",441185417.6,547539427.1
"66","Elton John",104969208.4,546206168.1
"67","Jason Derulo",397452835.6,532202122.1
"68","KAROL G",602381329.4,530314301.8
"69","Demi Lovato",593187445.2,529347580.9
"70","OneRepublic",494468323.4,523448636.7
"71","Lil Uzi Vert",115185241.9,523160319.7
"72","Justin Timberlake",492774832,521342585.2
"73","James Arthur",272459357.5,521037236.2
"74","Beyoncé",404629247.6,517856012.9
"75","Flo Rida",335187610.5,517446057.6
"76","Daddy Yankee",1087192684.2,513546248.1
"77","Fleetwood Mac",38625732.9,506301017.4
"78","Luis Fonsi",1162811303.1,505432620.1
"79","Martin Garrix",263393509,501579063.7
"80","The Neighbourhood",93064207,499006940.8
"81","Pitbull",610600349.1,497472141.5
"82","Zara Larsson",340901539.6,497391177.7
"83","Panic! At The Disco",236061323.2,496611914.9
"84","Farruko",712561250.5,493554900.3
"85","Ozuna",733918916.5,486633027.9
"86","Ellie Goulding",570797583.2,484378906.2
"87","Nirvana",326424999.5,476912628.8
"88","The Kid LAROI",104386285.2,476592613.6
"89","Jack Harlow",119378785.7,472382075.1
"90","Alan Walker",725684711.2,469261069.9
"91","Green Day",224469539.5,465307709.8
"92","Frank Ocean",974929.2,461275865.7
"93","Michael Jackson",520496199.1,460604309.3
"94","Lil Baby",102236637.4,459626850.8
"95","Zedd",147567488.5,452537823.6
"96","David Guetta",274403020.3,451849084.4
"97","Jonas Blue",290317378.1,451392670.4
"98","The Beatles",65420371.7,450927502.8
"99","Black Eyed Peas",490716434.5,447377181.8
"100","Taylor Swift",362058712.7,445712234.5
